date,usd_cny,usd_eur,usd_jpy
2017-01-02,6.9575,1.0416,117.68
2017-01-03,6.9575,1.0416,117.68
2017-01-04,6.9322,1.0476,117.38
2017-01-05,6.887,1.0598,115.46
2017-01-06,6.9176,1.056,116.85
2017-01-07,6.9176,1.056,116.85
2017-01-08,6.9176,1.056,116.85
2017-01-09,6.935,1.0576,116.07
2017-01-10,6.918,1.0572,115.74
2017-01-11,6.9365,1.0501,116.26
2017-01-12,6.889,1.0666,113.87
2017-01-13,6.8985,1.0625,115.03
2017-01-14,6.8985,1.0625,115.03
2017-01-15,6.8985,1.0625,115.03
2017-01-16,6.8985,1.0625,115.03
2017-01-17,6.852,1.0695,112.96
2017-01-18,6.836,1.0682,113.4
2017-01-19,6.868,1.063,115.3
2017-01-20,6.868,1.063,115.3
2017-01-21,6.868,1.063,115.3
2017-01-22,6.868,1.063,115.3
2017-01-23,6.8514,1.074,112.9
2017-01-24,6.8555,1.0749,113.63
2017-01-25,6.8812,1.0743,113.6
2017-01-26,6.8768,1.067,114.7
2017-01-27,6.8768,1.069,115.16
2017-01-28,6.8768,1.069,115.16
2017-01-29,6.8768,1.069,115.16
2017-01-30,6.8768,1.0681,113.86
2017-01-31,6.8768,1.0794,112.72
2017-02-01,6.8768,1.0758,113.29
2017-02-02,6.8768,1.0802,112.48
2017-02-03,6.865,1.0792,112.42
2017-02-04,6.865,1.0792,112.42
2017-02-05,6.865,1.0792,112.42
2017-02-06,6.86,1.0731,112.32
2017-02-07,6.8821,1.069,112.14
2017-02-08,6.87,1.0708,111.74
2017-02-09,6.866,1.0658,113.24
2017-02-10,6.8775,1.065,113.22
2017-02-11,6.8775,1.065,113.22
2017-02-12,6.8775,1.065,113.22
2017-02-13,6.8776,1.0603,113.79
2017-02-14,6.8649,1.0577,114.34
2017-02-15,6.8685,1.0597,114.17
2017-02-16,6.8517,1.066,113.36
2017-02-17,6.864,1.0614,112.86
2017-02-18,6.864,1.0614,112.86
2017-02-19,6.864,1.0614,112.86
2017-02-20,6.864,1.0614,112.86
2017-02-21,6.881,1.0551,113.48
2017-02-22,6.8765,1.0555,113.46
2017-02-23,6.8622,1.0586,112.68
2017-02-24,6.8645,1.058,112.26
2017-02-25,6.8645,1.058,112.26
2017-02-26,6.8645,1.058,112.26
2017-02-27,6.8675,1.0624,112.01
2017-02-28,6.8665,1.0618,112.06
2017-03-01,6.8794,1.0564,113.66
2017-03-02,6.8868,1.0514,114.45
2017-03-03,6.8954,1.0552,114.6
2017-03-04,6.8954,1.0552,114.6
2017-03-05,6.8954,1.0552,114.6
2017-03-06,6.8955,1.0586,113.92
2017-03-07,6.9,1.0582,113.99
2017-03-08,6.9113,1.0547,114.58
2017-03-09,6.9086,1.0586,114.71
2017-03-10,6.905,1.0667,115.02
2017-03-11,6.905,1.0667,115.02
2017-03-12,6.905,1.0667,115.02
2017-03-13,6.905,1.067,114.61
2017-03-14,6.913,1.0645,114.63
2017-03-15,6.9132,1.063,114.66
2017-03-16,6.913,1.0738,113.02
2017-03-17,6.9,1.0742,112.67
2017-03-18,6.9,1.0742,112.67
2017-03-19,6.9,1.0742,112.67
2017-03-20,6.905,1.0754,112.59
2017-03-21,6.883,1.081,111.9
2017-03-22,6.8785,1.08,111.06
2017-03-23,6.8843,1.0787,111.12
2017-03-24,6.8803,1.0806,111.03
2017-03-25,6.8803,1.0806,111.03
2017-03-26,6.8803,1.0806,111.03
2017-03-27,6.8687,1.0882,110.48
2017-03-28,6.8779,1.0852,110.56
2017-03-29,6.8879,1.0756,111.05
2017-03-30,6.887,1.0726,111.36
2017-03-31,6.8832,1.0698,111.41
2017-04-01,6.8832,1.0698,111.41
2017-04-02,6.8832,1.0698,111.41
2017-04-03,6.8832,1.0655,110.96
2017-04-04,6.8832,1.0664,110.74
2017-04-05,6.892,1.0661,111.2
2017-04-06,6.8955,1.0651,111.02
2017-04-07,6.8978,1.0616,110.76
2017-04-08,6.8978,1.0616,110.76
2017-04-09,6.8978,1.0616,110.76
2017-04-10,6.8988,1.0606,110.95
2017-04-11,6.8893,1.0614,109.74
2017-04-12,6.889,1.0611,109.54
2017-04-13,6.8865,1.063,109.23
2017-04-14,6.8835,1.0625,108.63
2017-04-15,6.8835,1.0625,108.63
2017-04-16,6.8835,1.0625,108.63
2017-04-17,6.88,1.066,108.46
2017-04-18,6.8778,1.0706,108.4
2017-04-19,6.886,1.0707,109.06
2017-04-20,6.88,1.0758,109.34
2017-04-21,6.8845,1.0694,109.08
2017-04-22,6.8845,1.0694,109.08
2017-04-23,6.8845,1.0694,109.08
2017-04-24,6.884,1.0846,109.74
2017-04-25,6.8824,1.0941,110.88
2017-04-26,6.8918,1.0872,111.52
2017-04-27,6.8958,1.0864,111.13
2017-04-28,6.89,1.0895,111.44
2017-04-29,6.89,1.0895,111.44
2017-04-30,6.89,1.0895,111.44
2017-05-01,6.89,1.0912,111.78
2017-05-02,6.8949,1.091,112.06
2017-05-03,6.8968,1.092,112.34
2017-05-04,6.8959,1.0967,112.7
2017-05-05,6.9021,1.0996,112.63
2017-05-06,6.9021,1.0996,112.63
2017-05-07,6.9021,1.0996,112.63
2017-05-08,6.904,1.0928,112.84
2017-05-09,6.906,1.0875,114.19
2017-05-10,6.9011,1.0873,114.02
2017-05-11,6.9033,1.0869,113.77
2017-05-12,6.8972,1.0926,113.3
2017-05-13,6.8972,1.0926,113.3
2017-05-14,6.8972,1.0926,113.3
2017-05-15,6.89,1.0979,113.54
2017-05-16,6.884,1.1072,113.24
2017-05-17,6.8773,1.1134,111.46
2017-05-18,6.888,1.113,110.82
2017-05-19,6.883,1.119,111.47
2017-05-20,6.883,1.119,111.47
2017-05-21,6.883,1.119,111.47
2017-05-22,6.8828,1.1236,111.15
2017-05-23,6.888,1.1198,111.64
2017-05-24,6.8883,1.1175,112.02
2017-05-25,6.8672,1.1218,111.7
2017-05-26,6.8525,1.117,111.3
2017-05-27,6.8525,1.117,111.3
2017-05-28,6.8525,1.117,111.3
