date,ism_manufacturing_pmi,industrial_production,capacity_utilization,us_construction_spending,us_retail_sales,copper_price_monthly,coal_price_monthly
2017-01-01,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-02,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-03,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-04,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-05,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-06,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-07,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-08,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-09,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-10,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-11,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-12,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-13,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-14,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-15,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-16,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-17,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-18,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-19,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-20,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-21,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-22,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-23,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-24,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-25,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-26,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-27,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-28,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-29,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-30,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-01-31,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-02-01,12350.0,98.3646,74.9346,1277327.0,408155.0,5940.9125,85.96928571
2017-02-02,12350.0,98.3646,74.9346,1277327.0,408155.0,5940.9125,85.96928571
2017-02-03,12350.0,98.3646,74.9346,1277327.0,408155.0,5940.9125,85.96928571
2017-02-04,12350.0,98.3646,74.9346,1277327.0,408155.0,5940.9125,85.96928571
2017-02-05,12350.0,98.3646,74.9346,1277327.0,408155.0,5940.9125,85.96928571
