date,pmi_manufacturing_usa,pmi_manufacturing_china
2017-01-01,58.2,51.8
2017-01-02,58.2,51.8
2017-01-03,58.2,51.8
2017-01-04,58.2,51.8
2017-01-05,58.2,51.8
2017-01-06,58.2,51.8
2017-01-07,58.2,51.8
2017-01-08,58.2,51.8
2017-01-09,58.2,51.8
2017-01-10,58.2,51.8
2017-01-11,58.2,51.8
2017-01-12,58.2,51.8
2017-01-13,58.2,51.8
2017-01-14,58.2,51.8
2017-01-15,58.2,51.8
2017-01-16,58.2,51.8
2017-01-17,58.2,51.8
2017-01-18,58.2,51.8
2017-01-19,58.2,51.8
2017-01-20,58.2,51.8
2017-01-21,58.2,51.8
2017-01-22,58.2,51.8
2017-01-23,58.2,51.8
2017-01-24,58.2,51.8
2017-01-25,58.2,51.8
2017-01-26,58.2,51.8
2017-01-27,58.2,51.8
2017-01-28,58.2,51.8
2017-01-29,58.2,51.8
2017-01-30,58.2,51.8
2017-01-31,58.2,51.8
2017-02-01,58.2,51.8
2017-02-02,58.2,51.8
2017-02-03,58.2,51.8
2017-02-04,58.2,51.8
2017-02-05,58.2,51.8
2017-02-06,58.2,51.8
2017-02-07,58.2,51.8
2017-02-08,58.2,51.8
2017-02-09,58.2,51.8
2017-02-10,58.2,51.8
2017-02-11,58.2,51.8
2017-02-12,58.2,51.8
2017-02-13,58.2,51.8
2017-02-14,58.2,51.8
2017-02-15,58.2,51.8
2017-02-16,58.2,51.8
2017-02-17,58.2,51.8
2017-02-18,58.2,51.8
2017-02-19,58.2,51.8
2017-02-20,58.2,51.8
2017-02-21,58.2,51.8
2017-02-22,58.2,51.8
2017-02-23,58.2,51.8
2017-02-24,58.2,51.8
2017-02-25,58.2,51.8
2017-02-26,58.2,51.8
2017-02-27,58.2,51.8
2017-02-28,58.2,51.8
2017-03-01,58.2,51.8
2017-03-02,58.2,51.8
2017-03-03,58.2,51.8
2017-03-04,58.2,51.8
2017-03-05,58.2,51.8
2017-03-06,58.2,51.8
2017-03-07,58.2,51.8
2017-03-08,58.2,51.8
2017-03-09,58.2,51.8
2017-03-10,58.2,51.8
2017-03-11,58.2,51.8
2017-03-12,58.2,51.8
2017-03-13,58.2,51.8
2017-03-14,58.2,51.8
2017-03-15,58.2,51.8
2017-03-16,58.2,51.8
2017-03-17,58.2,51.8
2017-03-18,58.2,51.8
2017-03-19,58.2,51.8
2017-03-20,58.2,51.8
2017-03-21,58.2,51.8
2017-03-22,58.2,51.8
2017-03-23,58.2,51.8
2017-03-24,58.2,51.8
2017-03-25,58.2,51.8
2017-03-26,58.2,51.8
2017-03-27,58.2,51.8
2017-03-28,58.2,51.8
2017-03-29,58.2,51.8
2017-03-30,58.2,51.8
2017-03-31,58.2,51.8
2017-04-01,58.2,51.8
2017-04-02,58.2,51.8
2017-04-03,58.2,51.8
2017-04-04,58.2,51.8
2017-04-05,58.2,51.8
2017-04-06,58.2,51.8
2017-04-07,58.2,51.8
2017-04-08,58.2,51.8
2017-04-09,58.2,51.8
2017-04-10,58.2,51.8
2017-04-11,58.2,51.8
2017-04-12,58.2,51.8
2017-04-13,58.2,51.8
2017-04-14,58.2,51.8
2017-04-15,58.2,51.8
2017-04-16,58.2,51.8
2017-04-17,58.2,51.8
2017-04-18,58.2,51.8
2017-04-19,58.2,51.8
2017-04-20,58.2,51.8
2017-04-21,58.2,51.8
2017-04-22,58.2,51.8
2017-04-23,58.2,51.8
2017-04-24,58.2,51.8
2017-04-25,58.2,51.8
2017-04-26,58.2,51.8
2017-04-27,58.2,51.8
2017-04-28,58.2,51.8
2017-04-29,58.2,51.8
2017-04-30,58.2,51.8
2017-05-01,58.2,51.8
2017-05-02,58.2,51.8
2017-05-03,58.2,51.8
2017-05-04,58.2,51.8
2017-05-05,58.2,51.8
2017-05-06,58.2,51.8
2017-05-07,58.2,51.8
2017-05-08,58.2,51.8
2017-05-09,58.2,51.8
2017-05-10,58.2,51.8
2017-05-11,58.2,51.8
2017-05-12,58.2,51.8
2017-05-13,58.2,51.8
2017-05-14,58.2,51.8
2017-05-15,58.2,51.8
2017-05-16,58.2,51.8
2017-05-17,58.2,51.8
2017-05-18,58.2,51.8
2017-05-19,58.2,51.8
2017-05-20,58.2,51.8
2017-05-21,58.2,51.8
2017-05-22,58.2,51.8
2017-05-23,58.2,51.8
2017-05-24,58.2,51.8
2017-05-25,58.2,51.8
2017-05-26,58.2,51.8
2017-05-27,58.2,51.8
2017-05-28,58.2,51.8
2017-05-29,58.2,51.8
2017-05-30,58.2,51.8
2017-05-31,58.2,51.8
2017-06-01,58.2,51.8
2017-06-02,58.2,51.8
2017-06-03,58.2,51.8
2017-06-04,58.2,51.8
2017-06-05,58.2,51.8
2017-06-06,58.2,51.8
2017-06-07,58.2,51.8
2017-06-08,58.2,51.8
2017-06-09,58.2,51.8
2017-06-10,58.2,51.8
2017-06-11,58.2,51.8
2017-06-12,58.2,51.8
2017-06-13,58.2,51.8
2017-06-14,58.2,51.8
2017-06-15,58.2,51.8
2017-06-16,58.2,51.8
2017-06-17,58.2,51.8
2017-06-18,58.2,51.8
2017-06-19,58.2,51.8
2017-06-20,58.2,51.8
2017-06-21,58.2,51.8
2017-06-22,58.2,51.8
2017-06-23,58.2,51.8
2017-06-24,58.2,51.8
2017-06-25,58.2,51.8
2017-06-26,58.2,51.8
2017-06-27,58.2,51.8
2017-06-28,58.2,51.8
2017-06-29,58.2,51.8
2017-06-30,58.2,51.8
2017-07-01,58.2,51.8
2017-07-02,58.2,51.8
2017-07-03,58.2,51.8
2017-07-04,58.2,51.8
2017-07-05,58.2,51.8
2017-07-06,58.2,51.8
2017-07-07,58.2,51.8
2017-07-08,58.2,51.8
2017-07-09,58.2,51.8
2017-07-10,58.2,51.8
2017-07-11,58.2,51.8
2017-07-12,58.2,51.8
2017-07-13,58.2,51.8
2017-07-14,58.2,51.8
2017-07-15,58.2,51.8
2017-07-16,58.2,51.8
2017-07-17,58.2,51.8
2017-07-18,58.2,51.8
2017-07-19,58.2,51.8
2017-07-20,58.2,51.8
2017-07-21,58.2,51.8
2017-07-22,58.2,51.8
2017-07-23,58.2,51.8
2017-07-24,58.2,51.8
2017-07-25,58.2,51.8
2017-07-26,58.2,51.8
2017-07-27,58.2,51.8
2017-07-28,58.2,51.8
2017-07-29,58.2,51.8
2017-07-30,58.2,51.8
2017-07-31,58.2,51.8
2017-08-01,58.2,51.8
2017-08-02,58.2,51.8
2017-08-03,58.2,51.8
2017-08-04,58.2,51.8
2017-08-05,58.2,51.8
2017-08-06,58.2,51.8
2017-08-07,58.2,51.8
2017-08-08,58.2,51.8
2017-08-09,58.2,51.8
2017-08-10,58.2,51.8
2017-08-11,58.2,51.8
2017-08-12,58.2,51.8
2017-08-13,58.2,51.8
2017-08-14,58.2,51.8
2017-08-15,58.2,51.8
2017-08-16,58.2,51.8
2017-08-17,58.2,51.8
2017-08-18,58.2,51.8
2017-08-19,58.2,51.8
2017-08-20,58.2,51.8
2017-08-21,58.2,51.8
2017-08-22,58.2,51.8
2017-08-23,58.2,51.8
2017-08-24,58.2,51.8
2017-08-25,58.2,51.8
2017-08-26,58.2,51.8
2017-08-27,58.2,51.8
2017-08-28,58.2,51.8
2017-08-29,58.2,51.8
2017-08-30,58.2,51.8
2017-08-31,58.2,51.8
2017-09-01,58.2,51.8
2017-09-02,58.2,51.8
2017-09-03,58.2,51.8
2017-09-04,58.2,51.8
2017-09-05,58.2,51.8
2017-09-06,58.2,51.8
2017-09-07,58.2,51.8
2017-09-08,58.2,51.8
2017-09-09,58.2,51.8
2017-09-10,58.2,51.8
2017-09-11,58.2,51.8
2017-09-12,58.2,51.8
2017-09-13,58.2,51.8
2017-09-14,58.2,51.8
2017-09-15,58.2,51.8
2017-09-16,58.2,51.8
2017-09-17,58.2,51.8
2017-09-18,58.2,51.8
2017-09-19,58.2,51.8
2017-09-20,58.2,51.8
2017-09-21,58.2,51.8
2017-09-22,58.2,51.8
2017-09-23,58.2,51.8
2017-09-24,58.2,51.8
2017-09-25,58.2,51.8
2017-09-26,58.2,51.8
2017-09-27,58.2,51.8
2017-09-28,58.2,51.8
2017-09-29,58.2,51.8
2017-09-30,58.2,51.8
2017-10-01,58.2,51.8
2017-10-02,58.2,51.8
2017-10-03,58.2,51.8
2017-10-04,58.2,51.8
2017-10-05,58.2,51.8
2017-10-06,58.2,51.8
2017-10-07,58.2,51.8
2017-10-08,58.2,51.8
2017-10-09,58.2,51.8
2017-10-10,58.2,51.8
2017-10-11,58.2,51.8
2017-10-12,58.2,51.8
2017-10-13,58.2,51.8
2017-10-14,58.2,51.8
2017-10-15,58.2,51.8
2017-10-16,58.2,51.8
2017-10-17,58.2,51.8
