feature,importance
aluminum_price_lag1,0.11499807775486826
aluminum_price_ma7,0.112402446401878
copper_price_monthly,0.10598738044384304
aluminum_price_ma21,0.06341500642287168
aluminum_price_lag5,0.05528974657966543
us_retail_sales,0.049103135595086445
aluminum_price_ma63,0.04869614975547041
aluminum_price_lag10,0.04655052672713629
us_construction_spending,0.04647712356733449
aluminum_price_lag21,0.03786482175147879
year,0.03315725148468178
aluminum_price_lag63,0.030170097278524412
world_gdp_growth,0.025977240473819763
coal_price_monthly,0.022836661637634346
china_industrial_output,0.01951894035842368
crude_oil_wti_ma21,0.0181642626184778
china_gdp_growth,0.01810622144840797
ism_manufacturing_pmi,0.013062813742191058
natural_gas_ma21,0.012606053264827072
eu_gdp_growth,0.010455515556673022
