feature,importance
copper_price_monthly,0.1036828801084712
aluminum_price,0.10147974559879397
high,0.07644823442785743
open,0.06850996539980561
aluminum_price_ma7,0.06413213644624233
us_retail_sales,0.054287886248259434
aluminum_price_lag1,0.0518520894980233
aluminum_price_ma21,0.048094002852869716
low,0.04161675527885174
us_construction_spending,0.03759941203497888
aluminum_price_lag5,0.03745961270157074
aluminum_price_lag10,0.029113581364081067
year,0.02866875679892068
aluminum_price_ma63,0.02848454106940143
aluminum_price_lag21,0.02139256860754953
world_gdp_growth,0.017463116947747832
eu_gdp_growth,0.012756943891958507
china_industrial_output,0.01261118209904723
aluminum_price_lag63,0.012451271176939603
coal_price_monthly,0.012407484534879056
