date,alumina_ppi,alumina_ppi_refining,aluminum_export_ppi
2017-01-02,116.4,116.4,108.8
2017-01-03,116.4,116.4,108.8
2017-01-04,116.4,116.4,108.8
2017-01-05,116.4,116.4,108.8
2017-01-06,116.4,116.4,108.8
2017-01-09,116.4,116.4,108.8
2017-01-10,116.4,116.4,108.8
2017-01-11,116.4,116.4,108.8
2017-01-12,116.4,116.4,108.8
2017-01-13,116.4,116.4,108.8
2017-01-16,116.4,116.4,108.8
2017-01-17,116.4,116.4,108.8
2017-01-18,116.4,116.4,108.8
2017-01-19,116.4,116.4,108.8
2017-01-20,116.4,116.4,108.8
2017-01-23,116.4,116.4,108.8
2017-01-24,116.4,116.4,108.8
2017-01-25,116.4,116.4,108.8
2017-01-26,116.4,116.4,108.8
2017-01-27,116.4,116.4,108.8
2017-01-30,116.4,116.4,108.8
2017-01-31,116.4,116.4,108.8
2017-02-01,119.2,119.3,112.0
2017-02-02,119.2,119.3,112.0
2017-02-03,119.2,119.3,112.0
2017-02-06,119.2,119.3,112.0
2017-02-07,119.2,119.3,112.0
2017-02-08,119.2,119.3,112.0
2017-02-09,119.2,119.3,112.0
2017-02-10,119.2,119.3,112.0
2017-02-13,119.2,119.3,112.0
2017-02-14,119.2,119.3,112.0
2017-02-15,119.2,119.3,112.0
2017-02-16,119.2,119.3,112.0
2017-02-17,119.2,119.3,112.0
2017-02-20,119.2,119.3,112.0
2017-02-21,119.2,119.3,112.0
2017-02-22,119.2,119.3,112.0
2017-02-23,119.2,119.3,112.0
2017-02-24,119.2,119.3,112.0
2017-02-27,119.2,119.3,112.0
2017-02-28,119.2,119.3,112.0
2017-03-01,120.9,121.0,115.6
2017-03-02,120.9,121.0,115.6
2017-03-03,120.9,121.0,115.6
2017-03-06,120.9,121.0,115.6
2017-03-07,120.9,121.0,115.6
2017-03-08,120.9,121.0,115.6
2017-03-09,120.9,121.0,115.6
2017-03-10,120.9,121.0,115.6
2017-03-13,120.9,121.0,115.6
2017-03-14,120.9,121.0,115.6
2017-03-15,120.9,121.0,115.6
2017-03-16,120.9,121.0,115.6
2017-03-17,120.9,121.0,115.6
2017-03-20,120.9,121.0,115.6
2017-03-21,120.9,121.0,115.6
2017-03-22,120.9,121.0,115.6
2017-03-23,120.9,121.0,115.6
2017-03-24,120.9,121.0,115.6
2017-03-27,120.9,121.0,115.6
2017-03-28,120.9,121.0,115.6
