date,alumina_ppi,alumina_ppi_refining,aluminum_export_ppi
2017-01-01,116.4,116.4,108.8
2017-02-01,119.2,119.3,112.0
2017-03-01,120.9,121.0,115.6
2017-04-01,122.7,122.8,117.3
2017-05-01,122.7,122.8,117.9
2017-06-01,122.5,122.6,114.4
2017-07-01,121.6,121.6,112.9
2017-08-01,123.5,123.5,114.7
2017-09-01,126.3,126.4,120.1
2017-10-01,128.5,128.6,120.5
2017-11-01,128.9,129.0,123.7
2017-12-01,127.9,128.0,122.2
2018-01-01,129.7,129.7,122.2
2018-02-01,132.2,132.3,127.3
2018-03-01,134.5,134.6,128.2
2018-04-01,136.4,136.4,125.6
2018-05-01,142.6,142.7,130.9
2018-06-01,144.6,144.7,130.8
2018-07-01,140.0,140.1,127.0
2018-08-01,137.8,137.9,118.6
2018-09-01,136.9,136.9,116.2
2018-10-01,136.6,136.7,115.1
2018-11-01,134.7,134.8,114.8
2018-12-01,133.6,133.6,111.1
2019-01-01,133.0,133.1,110.3
2019-02-01,133.2,133.3,107.4
2019-03-01,133.6,133.6,108.3
2019-04-01,134.1,134.2,112.1
2019-05-01,132.4,132.5,109.5
2019-06-01,130.8,130.9,106.4
2019-07-01,130.5,130.6,104.7
2019-08-01,128.2,128.3,103.2
2019-09-01,127.6,127.7,99.7
2019-10-01,126.5,126.6,99.6
2019-11-01,125.3,125.4,99.1
2019-12-01,125.4,125.5,98.9
2020-01-01,125.9,126.0,99.6
2020-02-01,123.0,123.1,101.2
2020-03-01,121.6,121.7,99.1
2020-04-01,115.6,115.6,94.4
2020-05-01,111.2,111.3,90.8
2020-06-01,110.9,110.9,90.1
2020-07-01,113.0,113.0,94.0
2020-08-01,116.0,116.1,98.1
2020-09-01,120.4,120.4,104.0
2020-10-01,120.7,120.8,106.5
2020-11-01,121.9,122.0,110.8
2020-12-01,127.1,127.2,121.4
2021-01-01,130.8,130.9,132.5
2021-02-01,132.4,132.5,132.5
2021-03-01,135.8,135.9,137.5
2021-04-01,142.9,143.0,140.0
2021-05-01,149.6,149.6,141.8
2021-06-01,153.8,153.9,144.9
2021-07-01,154.696,154.785,147.4
2021-08-01,160.123,160.215,148.1
2021-09-01,166.696,166.792,152.1
2021-10-01,173.947,174.048,160.7
2021-11-01,174.186,174.286,171.7
2021-12-01,164.597,164.692,155.9
2022-01-01,172.621,172.721,158.5
2022-02-01,185.713,185.82,167.7
2022-03-01,189.398,189.508,176.5
2022-04-01,196.022,196.135,190.4
2022-05-01,187.413,187.521,178.4
2022-06-01,176.777,176.879,163.6
2022-07-01,167.95,168.047,155.8
2022-08-01,162.672,162.765,143.0
2022-09-01,159.92,160.012,141.2
2022-10-01,154.535,154.624,139.3
2022-11-01,154.17,154.259,138.1
2022-12-01,155.912,156.002,142.3
2023-01-01,159.313,159.405,145.2
2023-02-01,162.056,162.15,149.0
2023-03-01,161.688,161.781,148.3
2023-04-01,158.696,158.788,145.7
2023-05-01,159.346,159.438,145.1
2023-06-01,157.293,157.384,143.0
2023-07-01,154.862,154.951,137.8
2023-08-01,154.211,154.3,137.1
2023-09-01,152.797,152.886,134.2
2023-10-01,152.16,152.248,140.0
2023-11-01,151.64,151.728,140.0
2023-12-01,150.941,151.028,141.3
2024-01-01,150.147,150.234,142.3
2024-02-01,150.378,150.464,143.3
2024-03-01,149.849,149.935,144.8
2024-04-01,151.218,151.306,147.0
2024-05-01,157.48,157.571,154.5
2024-06-01,161.008,161.101,159.4
2024-07-01,161.606,161.699,158.2
2024-08-01,157.802,157.893,157.1
2024-09-01,156.732,156.822,152.6
2024-10-01,159.543,159.635,157.2
2024-11-01,162.924,163.018,156.6
2024-12-01,164.06,164.155,157.4
2025-01-01,164.136,164.231,157.3
2025-02-01,166.082,166.178,156.1
2025-03-01,173.989,174.089,161.1
2025-04-01,175.653,175.755,164.7
2025-05-01,170.193,170.291,162.1
2025-06-01,170.006,170.104,160.0
2025-07-01,182.016,182.121,163.2
2025-08-01,191.126,191.237,171.0
2025-09-01,193.914,194.026,171.9
2025-10-01,197.604,197.718,172.1
2025-11-01,204.327,204.445,179.5
2025-12-01,209.401,209.522,183.6
2026-01-01,215.068,215.192,180.6
