date,close,open,high,low,volume,Change %,ticker,source
2017-01-03,1686.25,1687.25,1687.75,1686.25,35.36K,-0.38%,LME_AL_INVESTING,investing.com_manual
2017-01-04,1684.0,1690.5,1690.75,1688.75,31.89K,-0.13%,LME_AL_INVESTING,investing.com_manual
2017-01-05,1701.0,1703.75,1704.75,1702.0,31.23K,1.01%,LME_AL_INVESTING,investing.com_manual
2017-01-06,1711.75,1711.5,1719.75,1711.5,23.70K,0.63%,LME_AL_INVESTING,investing.com_manual
2017-01-09,1725.0,1723.0,1726.5,1723.0,32.33K,0.77%,LME_AL_INVESTING,investing.com_manual
2017-01-10,1748.0,1745.25,1746.25,1743.5,43.54K,1.33%,LME_AL_INVESTING,investing.com_manual
2017-01-11,1756.75,1758.25,1758.75,1754.75,35.61K,0.50%,LME_AL_INVESTING,investing.com_manual
2017-01-12,1788.0,1787.25,1791.25,1786.75,49.62K,1.78%,LME_AL_INVESTING,investing.com_manual
2017-01-13,1807.0,1810.75,1811.75,1808.25,46.98K,1.06%,LME_AL_INVESTING,investing.com_manual
2017-01-16,1789.75,1784.1,1785.85,1783.85,23.89K,-0.95%,LME_AL_INVESTING,investing.com_manual
2017-01-17,1798.25,1796.1,1798.35,1796.1,25.63K,0.47%,LME_AL_INVESTING,investing.com_manual
2017-01-18,1834.5,1811.75,1813.0,1809.5,23.62K,2.02%,LME_AL_INVESTING,investing.com_manual
2017-01-19,1826.0,1820.13,1820.63,1815.5,50.61K,-0.46%,LME_AL_INVESTING,investing.com_manual
2017-01-20,1846.0,1847.63,1848.88,1843.88,27.54K,1.10%,LME_AL_INVESTING,investing.com_manual
2017-01-23,1850.0,1849.25,1850.75,1845.25,10.24K,0.22%,LME_AL_INVESTING,investing.com_manual
2017-01-24,1867.25,1859.13,1862.75,1859.13,15.80K,0.93%,LME_AL_INVESTING,investing.com_manual
2017-01-25,1833.0,1832.25,1835.25,1830.0,13.68K,-1.83%,LME_AL_INVESTING,investing.com_manual
2017-01-26,1819.25,1810.5,1813.75,1809.5,21.84K,-0.75%,LME_AL_INVESTING,investing.com_manual
2017-01-27,1815.0,1813.75,1818.5,1813.0,11.81K,-0.23%,LME_AL_INVESTING,investing.com_manual
2017-01-30,1800.5,1797.75,1799.0,1791.5,11.90K,-0.80%,LME_AL_INVESTING,investing.com_manual
2017-01-31,1818.0,1809.5,1811.25,1807.0,17.47K,0.97%,LME_AL_INVESTING,investing.com_manual
2017-02-01,1817.0,1805.75,1806.75,1803.5,22.25K,-0.06%,LME_AL_INVESTING,investing.com_manual
2017-02-02,1827.0,1810.25,1819.25,1809.75,30.28K,0.55%,LME_AL_INVESTING,investing.com_manual
2017-02-03,1832.25,1823.5,1826.5,1821.5,17.80K,0.29%,LME_AL_INVESTING,investing.com_manual
2017-02-06,1831.75,1821.25,1823.75,1816.75,14.58K,-0.03%,LME_AL_INVESTING,investing.com_manual
2017-02-07,1827.25,1817.25,1818.25,1814.0,26.38K,-0.25%,LME_AL_INVESTING,investing.com_manual
2017-02-08,1844.0,1830.25,1832.5,1829.75,27.31K,0.92%,LME_AL_INVESTING,investing.com_manual
2017-02-09,1846.5,1833.75,1835.25,1833.0,33.52K,0.14%,LME_AL_INVESTING,investing.com_manual
2017-02-10,1870.5,1858.25,1862.75,1858.25,28.70K,1.30%,LME_AL_INVESTING,investing.com_manual
2017-02-13,1867.5,1864.0,1865.25,1862.75,32.63K,-0.16%,LME_AL_INVESTING,investing.com_manual
2017-02-14,1887.0,1878.25,1888.0,1875.25,19.29K,1.04%,LME_AL_INVESTING,investing.com_manual
2017-02-15,1913.0,1906.5,1907.25,1906.0,16.01K,1.38%,LME_AL_INVESTING,investing.com_manual
2017-02-16,1896.25,1894.75,1894.75,1893.0,19.33K,-0.88%,LME_AL_INVESTING,investing.com_manual
2017-02-17,1880.0,1873.88,1875.63,1873.38,54.87K,-0.86%,LME_AL_INVESTING,investing.com_manual
2017-02-20,1900.5,1892.5,1895.0,1891.0,12.02K,1.09%,LME_AL_INVESTING,investing.com_manual
2017-02-21,1886.5,1874.5,1875.75,1871.0,17.55K,-0.74%,LME_AL_INVESTING,investing.com_manual
2017-02-22,1885.25,1882.0,1885.25,1881.75,33.19K,-0.07%,LME_AL_INVESTING,investing.com_manual
2017-02-23,1868.0,1859.0,1860.5,1857.5,29.45K,-0.91%,LME_AL_INVESTING,investing.com_manual
2017-02-24,1886.25,1881.5,1882.5,1878.5,28.06K,0.98%,LME_AL_INVESTING,investing.com_manual
2017-02-27,1901.5,1900.25,1900.5,1897.0,30.18K,0.81%,LME_AL_INVESTING,investing.com_manual
2017-02-28,1925.0,1916.75,1920.25,1916.0,46.80K,1.24%,LME_AL_INVESTING,investing.com_manual
2017-03-01,1950.5,1943.5,1944.75,1939.0,36.30K,1.32%,LME_AL_INVESTING,investing.com_manual
2017-03-02,1911.5,1905.25,1906.0,1904.5,24.21K,-2.00%,LME_AL_INVESTING,investing.com_manual
2017-03-03,1892.25,1885.0,1885.0,1883.0,19.36K,-1.01%,LME_AL_INVESTING,investing.com_manual
2017-03-06,1875.0,1870.5,1873.0,1869.5,28.41K,-0.91%,LME_AL_INVESTING,investing.com_manual
2017-03-07,1874.75,1874.25,1875.0,1871.5,33.16K,-0.01%,LME_AL_INVESTING,investing.com_manual
2017-03-08,1875.5,1861.75,1869.25,1861.75,26.52K,0.04%,LME_AL_INVESTING,investing.com_manual
2017-03-09,1865.25,1864.75,1866.0,1864.0,29.09K,-0.55%,LME_AL_INVESTING,investing.com_manual
2017-03-10,1877.0,1866.0,1868.25,1866.0,27.38K,0.63%,LME_AL_INVESTING,investing.com_manual
2017-03-13,1877.0,1872.75,1874.25,1872.25,34.49K,0.00%,LME_AL_INVESTING,investing.com_manual
2017-03-14,1859.5,1858.5,1858.5,1852.75,42.02K,-0.93%,LME_AL_INVESTING,investing.com_manual
2017-03-15,1886.5,1877.25,1883.5,1876.75,13.37K,1.45%,LME_AL_INVESTING,investing.com_manual
2017-03-16,1899.75,1897.5,1899.0,1893.75,18.85K,0.70%,LME_AL_INVESTING,investing.com_manual
2017-03-17,1914.25,1908.75,1910.75,1908.25,16.94K,0.76%,LME_AL_INVESTING,investing.com_manual
2017-03-20,1922.0,1914.5,1914.75,1909.75,20.24K,0.40%,LME_AL_INVESTING,investing.com_manual
2017-03-21,1927.0,1917.25,1920.63,1915.25,68.94K,0.26%,LME_AL_INVESTING,investing.com_manual
2017-03-22,1923.75,1917.25,1929.75,1902.2,27.38K,-0.17%,LME_AL_INVESTING,investing.com_manual
2017-03-23,1934.75,1929.5,1929.75,1928.0,21.19K,0.57%,LME_AL_INVESTING,investing.com_manual
2017-03-24,1940.5,1933.75,1933.75,1932.25,11.79K,0.30%,LME_AL_INVESTING,investing.com_manual
2017-03-27,1931.0,1930.25,1930.25,1930.25,15.72K,-0.49%,LME_AL_INVESTING,investing.com_manual
2017-03-28,1945.25,1934.75,1941.75,1934.75,21.34K,0.74%,LME_AL_INVESTING,investing.com_manual
2017-03-29,1962.0,1965.25,1967.25,1965.25,29.87K,0.86%,LME_AL_INVESTING,investing.com_manual
2017-03-30,1974.25,1971.5,1971.5,1971.5,32.47K,0.62%,LME_AL_INVESTING,investing.com_manual
2017-03-31,1964.25,1953.25,1953.25,1953.25,34.42K,-0.51%,LME_AL_INVESTING,investing.com_manual
2017-04-03,1953.0,1944.0,1947.75,1944.0,40.96K,-0.57%,LME_AL_INVESTING,investing.com_manual
2017-04-04,1938.5,1928.75,1933.5,1928.75,24.12K,-0.74%,LME_AL_INVESTING,investing.com_manual
2017-04-05,1961.25,1956.0,1959.5,1956.0,32.20K,1.17%,LME_AL_INVESTING,investing.com_manual
2017-04-06,1953.0,1942.5,1947.5,1942.5,27.41K,-0.42%,LME_AL_INVESTING,investing.com_manual
2017-04-07,1960.75,1950.75,1954.5,1950.75,71.24K,0.40%,LME_AL_INVESTING,investing.com_manual
2017-04-10,1924.75,1908.5,1916.5,1908.5,42.97K,-1.84%,LME_AL_INVESTING,investing.com_manual
2017-04-11,1919.25,1906.75,1906.75,1906.75,47.86K,-0.29%,LME_AL_INVESTING,investing.com_manual
2017-04-12,1896.25,1885.5,1894.75,1885.5,45.93K,-1.20%,LME_AL_INVESTING,investing.com_manual
2017-04-13,1907.0,1901.38,1901.38,1882.63,37.99K,0.57%,LME_AL_INVESTING,investing.com_manual
2017-04-18,1891.25,1887.75,1899.0,1887.75,18.57K,-0.83%,LME_AL_INVESTING,investing.com_manual
2017-04-19,1903.0,1903.5,1903.5,1894.25,47.89K,0.62%,LME_AL_INVESTING,investing.com_manual
2017-04-20,1943.75,1934.0,1934.0,1894.0,25.25K,2.14%,LME_AL_INVESTING,investing.com_manual
2017-04-21,1934.0,1927.5,1934.0,1927.5,16.58K,-0.50%,LME_AL_INVESTING,investing.com_manual
2017-04-24,1946.0,1934.25,1942.75,1925.0,17.61K,0.62%,LME_AL_INVESTING,investing.com_manual
2017-04-25,1963.25,1934.25,1957.75,1925.0,18.33K,0.89%,LME_AL_INVESTING,investing.com_manual
2017-04-26,1964.75,1961.5,1964.0,1961.5,21.70K,0.08%,LME_AL_INVESTING,investing.com_manual
