date,lme_inventory,lme_inventory_change,lme_inventory_ma5,lme_inventory_ma21,lme_inventory_yoy
2018-01-02,1101375.0,,1101375.0,1101375.0,
2018-01-03,1101800.0,425.0,1101587.5,1101587.5,
2018-01-04,1101325.0,-475.0,1101500.0,1101500.0,
2018-01-05,1099475.0,-1850.0,1100993.75,1100993.75,
2018-01-06,1099475.0,0.0,1100690.0,1100690.0,
2018-01-07,1099475.0,0.0,1100310.0,1100487.5,
2018-01-08,1095875.0,-3600.0,1099125.0,1099828.5714285714,
2018-01-09,1092850.0,-3025.0,1097430.0,1098956.25,
2018-01-10,1090525.0,-2325.0,1095640.0,1098019.4444444445,
2018-01-11,1088325.0,-2200.0,1093410.0,1097050.0,
2018-01-12,1086875.0,-1450.0,1090890.0,1096125.0,
2018-01-13,1086875.0,0.0,1089090.0,1095354.1666666667,
2018-01-14,1086875.0,0.0,1087895.0,1094701.923076923,
2018-01-15,1084450.0,-2425.0,1086680.0,1093969.642857143,
2018-01-16,1083800.0,-650.0,1085775.0,1093291.6666666667,
2018-01-17,1088725.0,4925.0,1086145.0,1093006.25,
2018-01-18,1090875.0,2150.0,1086945.0,1092880.8823529412,
2018-01-19,1091850.0,975.0,1087940.0,1092823.611111111,
2018-01-20,1091850.0,0.0,1089420.0,1092772.3684210526,
2018-01-21,1091850.0,0.0,1091030.0,1092726.25,
2018-01-22,1088425.0,-3425.0,1090970.0,1092521.4285714286,
2018-01-23,1086200.0,-2225.0,1090035.0,1091798.8095238095,
2018-01-24,1087850.0,1650.0,1089235.0,1091134.5238095238,
2018-01-25,1086575.0,-1275.0,1088180.0,1090432.142857143,
2018-01-26,1081425.0,-5150.0,1086095.0,1089572.619047619,
2018-01-27,1081425.0,0.0,1084695.0,1088713.0952380951,
2018-01-28,1081425.0,0.0,1083740.0,1087853.5714285714,
2018-01-29,1085475.0,4050.0,1083265.0,1087358.3333333333,
2018-01-30,1084875.0,-600.0,1082925.0,1086978.5714285714,
2018-01-31,1081475.0,-3400.0,1082935.0,1086547.619047619,
2018-02-01,1080550.0,-925.0,1082760.0,1086177.380952381,
2018-02-02,1077650.0,-2900.0,1082005.0,1085738.0952380951,
2018-02-03,1077650.0,0.0,1080440.0,1085298.8095238095,
2018-02-04,1077650.0,0.0,1078995.0,1084859.5238095238,
2018-02-05,1075050.0,-2600.0,1077710.0,1084411.9047619049,
2018-02-06,1066225.0,-8825.0,1074845.0,1083575.0,
2018-02-07,1059875.0,-6350.0,1071290.0,1082201.1904761905,
2018-02-08,1058175.0,-1700.0,1067395.0,1080644.0476190476,
2018-02-09,1097100.0,38925.0,1071285.0,1080894.0476190476,
2018-02-10,1097100.0,0.0,1075695.0,1081144.0476190476,
2018-02-11,1097100.0,0.0,1081870.0,1081394.0476190476,
2018-02-12,1116575.0,19475.0,1093210.0,1082734.5238095238,
2018-02-13,1275500.0,158925.0,1136675.0,1091748.8095238095,
2018-02-14,1272550.0,-2950.0,1171765.0,1100544.0476190476,
2018-02-15,1303825.0,31275.0,1213110.0,1110889.2857142857,
2018-02-16,1296450.0,-7375.0,1252980.0,1121128.5714285714,
2018-02-17,1296450.0,0.0,1288955.0,1131367.857142857,
2018-02-18,1296450.0,0.0,1293145.0,1141607.142857143,
2018-02-19,1295425.0,-1025.0,1297720.0,1151604.761904762,
2018-02-20,1308525.0,13100.0,1298660.0,1162254.761904762,
2018-02-21,1314500.0,5975.0,1302270.0,1173351.1904761905,
2018-02-22,1314225.0,-275.0,1305825.0,1184478.5714285714,
2018-02-23,1330875.0,16650.0,1312710.0,1196536.9047619049,
2018-02-24,1330875.0,0.0,1319800.0,1208595.238095238,
2018-02-25,1330875.0,0.0,1324270.0,1220653.5714285714,
2018-02-26,1326825.0,-4050.0,1326735.0,1232642.857142857,
2018-02-27,1318375.0,-8450.0,1327565.0,1244650.0,
2018-02-28,1324475.0,6100.0,1326285.0,1257250.0,
2018-03-01,1322150.0,-2325.0,1324540.0,1269820.238095238,
2018-03-02,1323050.0,900.0,1322975.0,1280579.761904762,
2018-03-03,1323050.0,0.0,1322220.0,1291339.2857142857,
2018-03-04,1323050.0,0.0,1323155.0,1302098.8095238095,
2018-03-05,1322575.0,-475.0,1322775.0,1311908.3333333333,
2018-03-06,1320700.0,-1875.0,1322485.0,1314060.7142857143,
2018-03-07,1319300.0,-1400.0,1321735.0,1316286.9047619049,
2018-03-08,1315500.0,-3800.0,1320225.0,1316842.857142857,
2018-03-09,1311725.0,-3775.0,1317960.0,1317570.238095238,
2018-03-10,1311725.0,0.0,1315790.0,1318297.619047619,
2018-03-11,1311725.0,0.0,1313995.0,1319025.0,
2018-03-12,1306400.0,-5325.0,1311415.0,1319547.619047619,
2018-03-13,1301700.0,-4700.0,1308655.0,1319222.619047619,
2018-03-14,1295625.0,-6075.0,1305435.0,1318323.8095238095,
2018-03-15,1311900.0,16275.0,1305470.0,1318213.0952380951,
2018-03-16,1306150.0,-5750.0,1304355.0,1317035.7142857143,
2018-03-17,1306150.0,0.0,1304305.0,1315858.3333333333,
2018-03-18,1306150.0,0.0,1305195.0,1314680.9523809524,
2018-03-19,1293900.0,-12250.0,1304850.0,1313113.0952380951,
2018-03-20,1288675.0,-5225.0,1300205.0,1311698.8095238095,
2018-03-21,1283025.0,-5650.0,1295580.0,1309725.0,
2018-03-22,1279025.0,-4000.0,1290155.0,1307671.4285714286,
2018-03-23,1276375.0,-2650.0,1284200.0,1305448.8095238095,
2018-03-24,1276375.0,0.0,1280695.0,1303226.1904761905,
2018-03-25,1276375.0,0.0,1278235.0,1301003.5714285714,
2018-03-26,1273150.0,-3225.0,1276260.0,1298650.0,
2018-03-27,1268175.0,-4975.0,1274090.0,1296148.8095238095,
2018-03-28,1261625.0,-6550.0,1271140.0,1293402.380952381,
2018-03-29,1286300.0,24675.0,1273125.0,1292011.9047619049,
2018-03-30,1286300.0,0.0,1275110.0,1290801.1904761905,
