date,lme_inventory
2018-01-02,1101375.0
2018-01-03,1101800.0
2018-01-04,1101325.0
2018-01-05,1099475.0
2018-01-08,1095875.0
2018-01-09,1092850.0
2018-01-10,1090525.0
2018-01-11,1088325.0
2018-01-12,1086875.0
2018-01-15,1084450.0
2018-01-16,1083800.0
2018-01-17,1088725.0
2018-01-18,1090875.0
2018-01-19,1091850.0
2018-01-22,1088425.0
2018-01-23,1086200.0
2018-01-24,1087850.0
2018-01-25,1086575.0
2018-01-26,1081425.0
2018-01-29,1085475.0
2018-01-30,1084875.0
2018-01-31,1081475.0
2018-02-01,1080550.0
2018-02-02,1077650.0
2018-02-05,1075050.0
2018-02-06,1066225.0
2018-02-07,1059875.0
2018-02-08,1058175.0
2018-02-09,1097100.0
2018-02-12,1116575.0
2018-02-13,1275500.0
2018-02-14,1272550.0
2018-02-15,1303825.0
2018-02-16,1296450.0
2018-02-19,1295425.0
2018-02-20,1308525.0
2018-02-21,1314500.0
2018-02-22,1314225.0
2018-02-23,1330875.0
2018-02-26,1326825.0
2018-02-27,1318375.0
2018-02-28,1324475.0
2018-03-01,1322150.0
2018-03-02,1323050.0
2018-03-05,1322575.0
2018-03-06,1320700.0
2018-03-07,1319300.0
2018-03-08,1315500.0
2018-03-09,1311725.0
2018-03-12,1306400.0
2018-03-13,1301700.0
2018-03-14,1295625.0
2018-03-15,1311900.0
2018-03-16,1306150.0
2018-03-19,1293900.0
2018-03-20,1288675.0
2018-03-21,1283025.0
2018-03-22,1279025.0
2018-03-23,1276375.0
2018-03-26,1273150.0
2018-03-27,1268175.0
2018-03-28,1261625.0
2018-03-29,1286300.0
2018-04-03,1281475.0
2018-04-04,1270350.0
2018-04-05,1265350.0
2018-04-06,1260900.0
2018-04-09,1254125.0
2018-04-10,1249575.0
2018-04-11,1250775.0
2018-04-12,1345225.0
2018-04-13,1345175.0
2018-04-16,1360275.0
2018-04-17,1412400.0
2018-04-18,1412500.0
2018-04-19,1404350.0
2018-04-20,1395550.0
2018-04-23,1385025.0
2018-04-24,1378350.0
2018-04-25,1372500.0
2018-04-26,1362750.0
2018-04-27,1349950.0
2018-04-30,1341375.0
2018-05-01,1325725.0
2018-05-02,1323425.0
2018-05-03,1319300.0
2018-05-04,1310650.0
2018-05-08,1297550.0
2018-05-09,1276450.0
2018-05-10,1265175.0
2018-05-11,1264250.0
2018-05-14,1259300.0
2018-05-15,1247100.0
2018-05-16,1243175.0
2018-05-17,1249450.0
2018-05-18,1243850.0
2018-05-21,1234575.0
2018-05-22,1232775.0
2018-05-23,1231000.0
2018-05-24,1227900.0
2018-05-25,1222850.0
2018-05-29,1219250.0
2018-05-30,1210300.0
2018-05-31,1205875.0
2018-06-01,1206375.0
2018-06-04,1199150.0
2018-06-05,1192100.0
2018-06-06,1186350.0
2018-06-07,1180175.0
2018-06-08,1175225.0
2018-06-11,1168975.0
2018-06-12,1162650.0
2018-06-13,1153875.0
2018-06-14,1148000.0
2018-06-15,1142600.0
2018-06-18,1139575.0
2018-06-19,1136925.0
2018-06-20,1132475.0
2018-06-21,1131100.0
2018-06-22,1128325.0
2018-06-25,1123700.0
2018-06-26,1122425.0
2018-06-27,1117475.0
2018-06-28,1112025.0
2018-06-29,1114125.0
2018-07-02,1107400.0
2018-07-03,1108900.0
2018-07-04,1104600.0
2018-07-05,1106600.0
2018-07-06,1105975.0
2018-07-09,1115250.0
2018-07-10,1116550.0
2018-07-11,1120525.0
2018-07-12,1134600.0
2018-07-13,1144700.0
2018-07-16,1155700.0
2018-07-17,1175075.0
2018-07-18,1198875.0
2018-07-19,1203975.0
2018-07-20,1208400.0
2018-07-23,1209275.0
2018-07-24,1212125.0
2018-07-25,1209225.0
2018-07-26,1207600.0
2018-07-27,1200025.0
2018-07-30,1198250.0
2018-07-31,1196300.0
2018-08-01,1195150.0
2018-08-02,1192075.0
2018-08-03,1185275.0
2018-08-06,1177550.0
2018-08-07,1170300.0
2018-08-08,1162750.0
2018-08-09,1154050.0
2018-08-10,1149825.0
2018-08-13,1140900.0
2018-08-14,1135925.0
2018-08-15,1131275.0
2018-08-16,1124150.0
2018-08-17,1120250.0
2018-08-20,1115725.0
2018-08-21,1108525.0
2018-08-22,1102450.0
2018-08-23,1099975.0
2018-08-24,1095125.0
2018-08-28,1089275.0
2018-08-29,1075750.0
2018-08-30,1073050.0
2018-08-31,1070750.0
2018-09-03,1068675.0
2018-09-04,1067075.0
2018-09-05,1064450.0
2018-09-06,1062700.0
2018-09-07,1061575.0
2018-09-10,1059825.0
2018-09-11,1054525.0
2018-09-12,1052975.0
2018-09-13,1051200.0
2018-09-14,1046700.0
2018-09-17,1041025.0
2018-09-18,1035275.0
2018-09-19,1034625.0
2018-09-20,1030200.0
2018-09-21,1022450.0
2018-09-24,1013050.0
2018-09-25,1006775.0
2018-09-26,999925.0
2018-09-27,994625.0
2018-09-28,990550.0
2018-10-01,987800.0
2018-10-02,983250.0
2018-10-03,979800.0
2018-10-04,974075.0
2018-10-05,966900.0
2018-10-08,963350.0
2018-10-09,955950.0
2018-10-10,948425.0
2018-10-11,941500.0
2018-10-12,933500.0
2018-10-15,926100.0
2018-10-16,996875.0
2018-10-17,1082600.0
2018-10-18,1072950.0
2018-10-19,1066725.0
2018-10-22,1062350.0
2018-10-23,1056700.0
2018-10-24,1052025.0
2018-10-25,1049525.0
2018-10-26,1049175.0
2018-10-29,1048625.0
2018-10-30,1048825.0
2018-10-31,1047950.0
2018-11-01,1047325.0
2018-11-02,1051425.0
2018-11-05,1050475.0
2018-11-06,1049700.0
2018-11-07,1053675.0
2018-11-08,1055025.0
2018-11-09,1055550.0
2018-11-12,1056450.0
2018-11-13,1056150.0
2018-11-14,1057450.0
2018-11-15,1058125.0
2018-11-16,1066350.0
2018-11-19,1070925.0
2018-11-20,1073050.0
2018-11-21,1072525.0
2018-11-22,1070400.0
2018-11-23,1067000.0
2018-11-26,1064975.0
2018-11-27,1061700.0
2018-11-28,1057875.0
2018-11-29,1055275.0
2018-11-30,1052450.0
2018-12-03,1048025.0
2018-12-04,1046275.0
2018-12-05,1045250.0
2018-12-06,1043775.0
2018-12-07,1042900.0
2018-12-10,1040975.0
2018-12-11,1072450.0
2018-12-12,1071425.0
2018-12-13,1094925.0
2018-12-14,1150100.0
2018-12-17,1169625.0
2018-12-18,1227325.0
2018-12-19,1255925.0
2018-12-20,1254125.0
2018-12-21,1265250.0
2018-12-24,1266575.0
2018-12-27,1266550.0
2018-12-28,1267125.0
2018-12-31,1271200.0
2019-01-02,1273125.0
2019-01-03,1272925.0
2019-01-04,1278500.0
2019-01-07,1276050.0
2019-01-08,1283500.0
2019-01-09,1281400.0
2019-01-10,1286050.0
