date,ism_manufacturing_pmi,industrial_production,capacity_utilization,us_construction_spending,us_retail_sales,copper_price_monthly,coal_price_monthly
2017-01-01,12334.0,98.7611,75.2339,1256025.0,408269.0,5754.559523809524,91.4244898
2017-02-01,12350.0,98.3646,74.9346,1277327.0,408155.0,5940.9125,85.96928571
2017-03-01,12361.0,99.0137,75.4439,1274466.0,407630.0,5824.630434782609,86.33385093
2017-04-01,12367.0,100.0224,76.2392,1268229.0,409134.0,5683.902777777778,90.11071429
2017-05-01,12377.0,100.1408,76.368,1282119.0,406609.0,5599.559523809524,80.11836735
2017-06-01,12390.0,100.3471,76.5758,1277442.0,409067.0,5719.761363636364,85.67337662
2017-07-01,12390.0,100.1068,76.4534,1275620.0,409113.0,5985.119047619048,90.77397959
2017-08-01,12435.0,99.6925,76.2067,1274043.0,409606.0,6485.625,102.7724026
2017-09-01,12443.0,99.7954,76.3591,1280026.0,419021.0,6577.166666666667,104.775
2017-10-01,12457.0,101.0247,77.3753,1283890.0,418999.0,6807.602272727273,103.2496753
2017-11-01,12472.0,101.2664,77.6337,1309300.0,423224.0,6826.545454545455,102.487013
2017-12-01,12501.0,101.4644,77.8538,1314355.0,425545.0,6833.894736842105,105.968797
2018-01-01,12527.0,101.4625,77.9138,1338470.0,423202.0,7065.852272727273,111.9326299
2018-02-01,12551.0,101.7085,78.1508,1354758.0,425507.0,7006.525,111.4773214
2018-03-01,12576.0,102.2067,78.5697,1345730.0,425087.0,6799.178571428571,105.7280612
2018-04-01,12595.0,103.3329,79.4597,1353497.0,425899.0,6851.5125,99.22339286
2018-05-01,12623.0,102.4024,78.7526,1360723.0,432340.0,6825.27380952381,109.375
2018-06-01,12656.0,103.198,79.356,1342064.0,430008.0,6965.857142857143,121.5244898
2018-07-01,12676.0,103.3646,79.4588,1335024.0,432070.0,6250.75,125.0858766
2018-08-01,12688.0,104.0327,79.9322,1339141.0,432031.0,6051.045454545455,123.7349026
2018-09-01,12710.0,104.1004,79.9314,1323245.0,431438.0,6050.7625,122.2291071
2018-10-01,12731.0,103.9856,79.7802,1315931.0,435894.0,6219.586956521739,114.7621118
2018-11-01,12741.0,104.0681,79.7722,1302721.0,438612.0,6195.920454545455,107.5529221
2018-12-01,12761.0,104.0936,79.7142,1292045.0,428932.0,6075.315789473684,106.143609
2019-01-01,12790.0,103.4021,79.1024,1295341.0,430246.0,5939.102272727273,105.4012987
2019-02-01,12782.0,102.8371,78.5877,1310297.0,431194.0,6300.4875,101.3571429
2019-03-01,12788.0,102.8757,78.5337,1319912.0,438196.0,6439.464285714286,99.66989796
2019-04-01,12785.0,102.274,77.9898,1352871.0,437735.0,6438.3625,88.76464286
2019-05-01,12778.0,102.392,77.9962,1364812.0,442514.0,6017.904761904762,89.56428571
2019-06-01,12787.0,102.4375,77.9493,1381444.0,442116.0,5882.225,77.62982143
2019-07-01,12790.0,101.9408,77.4935,1412986.0,445304.0,5941.195652173913,77.84580745
2019-08-01,12789.0,102.639,77.9497,1425690.0,448519.0,5709.440476190476,69.73928571
2019-09-01,12787.0,102.2917,77.6205,1438309.0,444555.0,5759.25,66.95867347
2019-10-01,12733.0,101.4281,76.9099,1445024.0,445627.0,5757.297826086957,69.19425466
2019-11-01,12777.0,101.9372,77.252,1464447.0,449040.0,5859.952380952381,69.72908163
2019-12-01,12760.0,101.7003,77.0416,1469119.0,449643.0,6077.0625,70.46464286
2020-01-01,12745.0,101.0338,76.519,1491029.0,447774.0,6031.209090909091,72.10616883
2020-02-01,12743.0,101.3735,76.7764,1498750.0,447972.0,5687.75,71.05017857
2020-03-01,12684.0,97.4078,73.7887,1502330.0,420954.0,5182.631818181818,70.20487013
2020-04-01,11382.0,84.5619,64.0847,1459363.0,370296.0,5057.972,64.62
2020-05-01,11610.0,85.9604,65.1874,1449765.0,437957.0,5239.826315789474,54.14830827
2020-06-01,11950.0,91.5934,69.5218,1460368.0,465800.0,5754.595454545455,55.00275974
2020-07-01,11973.0,95.0256,72.2103,1474508.0,471873.0,6372.460869565217,51.67220497
2020-08-01,11999.0,95.9549,73.0192,1489581.0,473696.0,6508.392857142857,51.3825
2020-09-01,12057.0,95.9669,73.1451,1512309.0,482702.0,6704.9,52.00568182
2020-10-01,12086.0,96.7394,73.8636,1538356.0,480763.0,6713.811363636364,58.06948052
2020-11-01,12118.0,97.0816,74.2637,1552503.0,478079.0,7068.907142857143,62.94642857
2020-12-01,12153.0,98.363,75.3903,1577213.0,485949.0,7772.238095238095,80.58979592
2021-01-01,12142.0,98.8822,75.9401,1599028.0,501604.0,7972.1475,90.99535714
2021-02-01,12172.0,95.6149,73.5725,1575321.0,488805.0,8470.94,92.48571429
2021-03-01,12229.0,98.3856,75.8472,1610208.0,539607.0,8988.247826086958,95.23090062
2021-04-01,12193.0,98.5587,76.1216,1614849.0,542199.0,9324.8175,97.84767857
