date,us_gdp_growth_rate,us_gdp_level
2017-01-01,2.0,19280.084
2017-04-01,2.3,19438.643
2017-07-01,3.2,19692.595
2017-10-01,4.6,20037.088
2018-01-01,3.3,20328.553
2018-04-01,2.1,20580.912
2018-07-01,2.5,20798.73
2018-10-01,0.6,20917.867
2019-01-01,2.5,21111.6
2019-04-01,3.4,21397.938
2019-07-01,4.8,21717.171
2019-10-01,2.8,21933.217
2020-01-01,-5.2,21751.238
2020-04-01,-28.0,19958.291
2020-07-01,34.9,21704.437
2020-10-01,4.6,22087.16
2021-01-01,5.7,22680.693
2021-04-01,7.0,23425.91
2021-07-01,3.3,23982.379
2021-10-01,7.0,24813.6
2022-01-01,-1.0,25250.347
2022-04-01,0.6,25861.292
2022-07-01,2.9,26336.304
2022-10-01,2.8,26770.514
2023-01-01,2.9,27216.445
2023-04-01,2.5,27530.055
2023-07-01,4.7,28074.846
2023-10-01,3.4,28424.722
2024-01-01,0.8,28708.161
2024-04-01,3.6,29147.044
2024-07-01,3.3,29511.664
2024-10-01,1.9,29825.182
2025-01-01,-0.6,30042.113
2025-04-01,3.8,30485.729
2025-07-01,4.4,31098.027
2025-10-01,1.4,31490.07
