published_at,title,description,content,source,url,keyword
2026-03-02 20:13:42,US GoldMining soars on Whistler project economics,"The PEA report highlighted a $2 billion after-tax net present value, an internal rate of return of 33% and an initial payback of 2.1 years.",,Mining.com,https://www.mining.com/us-goldmining-soars-on-whistler-project-economics/,rss
2026-03-02 20:29:51,PDAC: Ottawa spreads cash across 30 projects,Canada announced as much as $17 million each for 30 mining projects.,,Mining.com,https://www.mining.com/pdac-ottawa-spreads-cash-across-30-projects/,rss
2026-03-02 23:30:43,Sustainable Fitch affirms Navoi Mining’s ESG rating,"NMMC's rating came in at '3' along with an overall score of 54, up from 51 previously.",,Mining.com,https://www.mining.com/sustainable-fitch-affirms-navoi-minings-esg-rating/,rss
2026-03-03 14:49:00,"Shorter commodity cycles reshaping trading, value: McKinsey","Consultancy says that AI, partnerships and faster capital deployment are driving a structural shift in global commodity markets.",,Mining.com,https://www.mining.com/shorter-commodity-cycles-reshaping-trading-value-mckinsey/,rss
2026-03-03 18:31:24,US Antimony says Ontario project holds tungsten resource worth $4.6B,The company said it is now in the process of filing a request for US government funding in an effort to expedite its mining plan.,,Mining.com,https://www.mining.com/us-antimony-estimates-resource-for-ontario-tungsten-project/,rss
2026-03-03 19:23:42,"PDAC: Ottawa details $1.5B road, power fund",Canada officially launched the First and Last Mile infrastructure fund that had been outlined in federal budget to get metals from mines to markets.,,Mining.com,https://www.mining.com/pdac-ottawa-details-1-5b-road-power-fund/,rss
2026-03-04 02:45:35,CHART: Tuesday teardown for mining stocks as Iran war escalates,"Gold, silver, copper prices tumble but metals and mining stocks recover some losses in late trading.",,Mining.com,https://www.mining.com/chart-mining-stocks-hammered-as-iran-war-escalates/,rss
2026-03-04 13:30:06,SSR Mining to sell Copler mine stake to Turkish firm for $1.5B,The Canadian gold miner moves to exit Turkey asset while focusing on operations and growth strategy across the Americas.,,Mining.com,https://www.mining.com/ssr-mining-to-sell-copler-mine-stake-to-turkish-firm-for-1-5b/,rss
2026-03-04 15:24:00,"PDAC: Canada will be G20’s quickest on mining permits, Natural Resources Minister vows","The government is pushing five projects valued in the billions of dollars, from copper in British Columbia to tungsten in New Brunswick.",,Mining.com,https://www.mining.com/pdac-canada-will-be-g20s-quickest-on-mining-permits-natural-resources-minister-vows/,rss
2026-03-04 16:15:42,Aluminum price surges to 4-year high on Bahrain force majeure,"Analysts at Goldman Sachs said prices could hit as high as $3,600 a tonne if production in the region was lost for a month.",,Mining.com,https://www.mining.com/aluminum-price-surges-to-4-year-high-on-bahrain-force-majeure/,rss
2026-03-04 17:29:37,Gold price rebounds as investors buy the dip on safe-haven metal,"Spot gold rose as much as 2.3% to above $5,200 an ounce.",,Mining.com,https://www.mining.com/gold-price-rebounds-as-investors-buy-the-dip-on-safe-haven-metal/,rss
2026-03-04 18:24:52,Defense Metals conditionally approved for Canadian infrastructure funding,The funding would allow Defense Metals to advance the development of a new 60-km transmission line to its rare earth mine site.,,Mining.com,https://www.mining.com/defense-metals-conditionally-approved-for-canadian-infrastructure-funding/,rss
2026-03-04 22:24:00,"PDAC: Ontario shifts metals strategy to defence as EVs stall, mining minister says","The previous strategy focused on the electric vehicle market and emphasized the need for clean technologies, but the world has changed.",,Mining.com,https://www.mining.com/pdac-ontario-shifts-metals-strategy-to-defence-as-evs-stall-mining-minister-says/,rss
2026-03-05 11:53:00,Deep-sea mining debate reaches critical global moment,"Governments face pressure to delay seabed mining as legal risks, fragile ecosystems and global treaty commitments collide.",,Mining.com,https://www.mining.com/deep-sea-mining-debate-reaches-critical-global-moment/,rss
2026-03-05 14:19:00,Critical minerals drive new commodity supercycle: Sprott,"Energy security and electrification are reshaping markets, pushing strategic metals like copper and uranium to the forefront.",,Mining.com,https://www.mining.com/critical-minerals-drive-new-commodity-supercycle-sprott/,rss
2026-03-05 18:14:34,Resolute Mining grows gold inventory with Côte d’Ivoire additions,"The updated resource totals 347 million tonnes grading 1.6 grams of gold per tonne, containing over 17.63 million ounces.",,Mining.com,https://www.mining.com/resolute-mining-grows-gold-inventory-with-cote-divoire-additions/,rss
2026-03-05 21:52:45,First Nations Coalition says Indigenous equity key to faster mining approvals in Canada,FNMPC represents 186 First Nations across the country.,,Mining.com,https://www.mining.com/first-nations-coalition-says-indigenous-equity-key-to-faster-mining-approvals-in-canada/,rss
