Date,Price
02/01/2026,49.0
01/01/2026,49.3
12/01/2025,50.1
11/01/2025,49.2
10/01/2025,49.0
09/01/2025,49.8
08/01/2025,49.4
07/01/2025,49.3
06/01/2025,49.7
05/01/2025,49.5
04/01/2025,49.0
03/01/2025,50.5
02/01/2025,50.2
01/01/2025,49.1
12/01/2024,50.1
11/01/2024,50.3
10/01/2024,50.1
09/01/2024,49.8
08/01/2024,49.1
07/01/2024,49.4
06/01/2024,49.5
05/01/2024,49.5
04/01/2024,50.4
03/01/2024,50.8
02/01/2024,49.1
01/01/2024,49.2
12/01/2023,49.0
11/01/2023,49.4
10/01/2023,49.5
09/01/2023,50.2
08/01/2023,49.7
07/01/2023,49.3
06/01/2023,49.0
05/01/2023,48.8
04/01/2023,49.2
03/01/2023,51.9
02/01/2023,52.6
01/01/2023,50.1
12/01/2022,47.0
11/01/2022,48.0
10/01/2022,49.2
09/01/2022,50.1
08/01/2022,49.4
07/01/2022,49.0
06/01/2022,50.2
05/01/2022,49.6
04/01/2022,47.4
03/01/2022,49.5
02/01/2022,50.2
01/01/2022,50.1
12/01/2021,50.3
11/01/2021,50.1
10/01/2021,49.2
09/01/2021,49.6
08/01/2021,50.1
07/01/2021,50.4
06/01/2021,50.9
05/01/2021,51.0
04/01/2021,51.1
03/01/2021,51.9
02/01/2021,50.6
01/01/2021,51.3
12/01/2020,51.9
11/01/2020,52.1
10/01/2020,51.4
09/01/2020,51.5
08/01/2020,51.0
07/01/2020,51.1
06/01/2020,50.9
05/01/2020,50.6
04/01/2020,50.8
03/01/2020,52.0
02/01/2020,35.7
01/01/2020,50.0
12/01/2019,50.2
11/01/2019,50.2
10/01/2019,49.3
09/01/2019,49.8
08/01/2019,49.5
07/01/2019,49.7
06/01/2019,49.4
05/01/2019,49.4
04/01/2019,50.1
03/01/2019,50.5
02/01/2019,49.2
01/01/2019,49.5
12/01/2018,49.4
11/01/2018,50.0
10/01/2018,50.2
09/01/2018,50.8
08/01/2018,51.3
07/01/2018,51.2
06/01/2018,51.5
05/01/2018,51.9
04/01/2018,51.4
03/01/2018,51.5
02/01/2018,50.3
01/01/2018,51.3
12/01/2017,51.6
11/01/2017,51.8
