Date,Price
11/01/2017,58.2
12/01/2017,59.7
01/01/2018,59.1
02/01/2018,60.8
03/01/2018,59.3
04/01/2018,57.3
05/01/2018,58.7
06/01/2018,60.2
07/01/2018,58.1
08/01/2018,61.3
09/01/2018,59.8
10/01/2018,57.7
11/01/2018,59.3
12/01/2018,54.1
01/01/2019,56.6
02/01/2019,54.2
03/01/2019,55.3
04/01/2019,52.8
05/01/2019,52.1
06/01/2019,51.7
07/01/2019,51.2
08/01/2019,49.1
09/01/2019,47.8
10/01/2019,48.3
11/01/2019,48.1
12/01/2019,47.2
01/01/2020,50.9
02/01/2020,50.1
03/01/2020,49.1
04/01/2020,41.5
05/01/2020,43.1
06/01/2020,52.6
07/01/2020,54.2
08/01/2020,56.0
09/01/2020,55.4
10/01/2020,59.3
11/01/2020,57.5
12/01/2020,60.7
01/01/2021,58.7
02/01/2021,60.8
03/01/2021,64.7
04/01/2021,60.7
05/01/2021,61.2
06/01/2021,60.6
07/01/2021,59.5
08/01/2021,59.9
09/01/2021,61.1
10/01/2021,60.8
11/01/2021,61.1
12/01/2021,58.7
01/01/2022,57.6
02/01/2022,58.6
03/01/2022,57.1
04/01/2022,55.4
05/01/2022,56.1
06/01/2022,53.0
07/01/2022,52.8
08/01/2022,52.8
09/01/2022,50.9
10/01/2022,50.2
11/01/2022,49.0
12/01/2022,48.4
01/01/2023,47.4
02/01/2023,47.7
03/01/2023,46.3
04/01/2023,47.1
05/01/2023,46.9
06/01/2023,46.0
07/01/2023,46.4
08/01/2023,47.6
09/01/2023,49.0
10/01/2023,46.7
11/01/2023,46.7
12/01/2023,47.4
01/01/2024,49.1
02/01/2024,47.8
03/01/2024,50.3
04/01/2024,49.2
05/01/2024,48.7
06/01/2024,48.5
07/01/2024,46.8
08/01/2024,47.2
09/01/2024,47.2
10/01/2024,46.5
11/01/2024,48.4
12/01/2024,49.3
01/01/2025,50.9
02/01/2025,50.3
03/01/2025,49.0
04/01/2025,48.7
05/01/2025,48.5
06/01/2025,49.0
07/01/2025,48.0
08/01/2025,48.7
09/01/2025,49.1
10/01/2025,48.7
11/01/2025,48.2
12/01/2025,47.9
01/01/2026,52.6
02/01/2026,52.4
